kurgan,6,"""İlk Çağ'da mezar üzerine toprak yığılarak yapılan küçük tepe"""
mıklep,6,"Ciltli kitapların sol cilt kapağında bulunan ve okunmakta olan yeri belli eden, ucu üçgenimsi, katlanabilir parça"
maktel,6,Cinayet işlenen yer
maytap,6,"Yandığında renkli ve parlak ışıklar saçan, şenlik gecelerinde yakılan havai fişek"
mercek,6,"İçinden geçen paralel ışınları düzenli bir biçimde birbirine yaklaştıran veya birbirinden uzaklaştıran, camdan veya ışık kırıcı herhangi bir maddeden yapılmış, genellikle küresel yüzeylerle sınırlanmış saydam cisim, adese, lens"
nazire,6,"Karşılık olarak, benzetilerek yapılan davranış, söz"
püstül,6,İrinle dolu kabarcık veya sivilce
safari,6,"""Afrika'nın doğusunda toplu olarak yapılan vahşi hayvan avı"""
sovhoz,6,"""Sovyetler Birliği'nde devlet eliyle yönetilen tarım işletmesi"""
tehyiç,6,"Coşturma, heyecanlandırma"
terfik,6,Bir kimseyi arkadaş olarak yanına alma
yapıcı,6,"Yapan, oluşturan, ortaya çıkaran, meydana getiren"
çankırı,7,"""Türkiye'nin İç Anadolu Bölgesi'nde yer alan illerinden biri"""
aritmik,7,"Ritimli olmayan, düzensiz"
begdili,7,Oğuz Türklerinin yirmi dört boyundan biri
ekonomi,7,"İnsanların yaşayabilmek için üretme, ürettiklerini bölüşme biçimlerinin ve bu faaliyetlerden doğan ilişkilerin bütünü, iktisat"
geçerli,7,"Yürürlükte olan, uygulanan, meri, muteber"
ihtilal,7,"Bir ülkenin siyasal, sosyal ve ekonomik yapısını veya yönetim düzenini değiştirmek amacıyla kanunlara uymaksızın cebir ve kuvvet kullanarak yapılan geniş halk hareketi, devrim"
istiane,7,Yardım isteme
kötücül,7,Kötülük isteyen (kimse)
lazanya,7,Bir tür İtalyan makarnası
mülakat,7,"Buluşma, görüşme"
maksure,7,"Camilerde, parmaklıklarla çevrilmiş yer"
mevduat,7,"Belli bir süre sonunda veya istenildiğinde çekilmek üzere bankalara faizle yatırılan para, tevdiat"
muayede,7,"Bayramlaşma, birbirinin bayramını kutlama"
parafin,7,"Katran, petrol, neft vb. maddelerden çıkarılan, katı, beyaz, yarı saydam, buharı parlak bir alevle yanan, kimyasal etkenlere karşı ilgisiz, katı hidrokarbon, alkan"
satsuma,7,"Kabuğu kolay soyulabilen, güzel kokulu bir tür mandalina"
skandal,7,"Büyük yankı uyandıran, utanç verici veya küçük düşürücü olay"
takunya,7,"Genellikle hamam vb. ıslak tabanlı yerlerde kullanılan, yüksek ökçeli, ağaçtan yapılmış bir tür ayak giysisi, nalın"
yırtıcı,7,Beslenmek için başka hayvanları parçalayarak yiyen (hayvan)
bucaksız,8,Bucağı olmayan
disiplin,8,"Bir topluluğun, yasalarına ve düzenle ilgili yazılı veya yazısız kurallarına titizlik ve özenle uyması durumu, sıkı düzen, düzence, düzen bağı, zapturapt"
hariciye,8,Devlet yönetiminde dış işleri
imkansız,8,"Olma ihtimali bulunmayan, olanaksız"
kırşehir,8,"""Türkiye'nin İç Anadolu Bölgesi'nde yer alan illerinden biri"""
kaydırak,8,"Yassı, kaygan çakıl"
mubassır,8,Okullarda öğrencilerin durumu ile ilgilenen ve düzeni sağlamakla görevli kimse
otomatik,8,Mekanik yollarla hareket ettirilen veya kendi kendini yöneten (alet)
platonik,8,"Gerçekte var olmayan, düşte kalan, hep öyle kalması istenilen (aşk, sevgi ve ilgi), eflatuni"
sansürcü,8,"Sanat eserlerini denetlemekle görevlendirilmiş kimse, sıkı denetimci"
sismolog,8,Deprem bilimci
takdirde,8,...-dığı zaman
teşrifat,8,Resmî günlerde ve toplantılarda devlet büyüklerinin makam ve mevki sıralarına göre kabulü
tiroksin,8,Tiroit hormonlarının ilk keşfedileni
zindelik,8,"Dinçlilik, canlılık, sağlamlık"
şizofreni,9,"Gerçeklerle olan ilişkilerin büyük ölçüde azalması, düşünce, duygu ve davranış alanlarında önemli bozulmaların ortaya çıkması vb. belirtiler gösteren bir ruh hastalığı"
alayuntlu,9,Oğuz Türklerinin yirmi dört boyundan biri
cavalacoz,9,"Değersiz, önemsiz, derme çatma"
dayatmacı,9,"İstediğini yaptırmada baskı uygulayan, direten, empoze eden"
divanelik,9,"Kaçıklık, delilik"
fetvahane,9,Müftünün makamı
hüvelbaki,9,"""""""Baki kalan Allah'tır."""" anlamında ve genellikle mezar taşlarına yazılan bir söz"""
kambriyen,9,Birinci Çağın ilk dönemi ve bu dönemde oluşmuş yer katmanları
plütonyum,9,"Atom numarası 94 olan, neptünyumdan elde edilen radyoaktif bir element (simgesi Pu)"
siyasiyat,9,Politika işleri
takmazlık,9,Takmama durumu
yaraşıklı,9,"Yaraşan, uygun, yakışır"
dokunulmaz,10,"İlişilmez, el sürülmez, taarruzdan korunmuş"
halvethane,10,Saraylarda girilmesi yasak olan oda
kelebekler,10,Pul kanatlılar
mütehakkim,10,"Hâkim olan, hükmeden"
palandöken,10,Taşlık yokuş
profiterol,10,Arasında krema bulunan özel yuvarlak toplar üzerine sıcak çikolata dökülerek yapılan bir tatlı türü
teberrüken,10,"Uğur sayarak, mutlu olsun diye"
vahdaniyet,10,"Tanrı'nın birliği, bir olması"
yetiştirim,10,Bir hayvana herhangi bir amaçla birtakım alışkanlıklar ve beceriler kazandırma işi
şike,4,Bir spor karşılaşmasının sonucunu değiştirmek için maddi veya manevi bir çıkar karşılığı varılan anlaşma
derk,4,"Anlama, kavrama"
gasp,4,Bir malı sahibinin izni ve haberi olmadan zorla alma
herk,4,"Sürüldükten sonra bir yıl dinlendirilen, nadasa bırakılan tarla"
ilca,4,"Zorlama, zorunda bırakma"
remi,4,Genellikle dört kişi arasında elli kâğıtlık bir deste ve iki jokerle oynanan bir iskambil oyunu
sofa,4,"Evlerde oda kapılarının açıldığı genişçe yer, hol"
çavuş,5,Bir işin veya işçilerin başında bulunan ve onları yöneten sorumlu kimse
örnek,5,"Benzeri yapılacak olan, benzetilmek istenen şey, model"
ücret,5,İş gücünün karşılığı olan para veya mal
şebek,5,"Genellikle Afrika'nın dağlık bölgelerinde sürüler hâlinde yaşayan, değişik renklerde olan, uzun veya kısa kuyruklu türleri bulunan maymun"
ahval,5,"Durumlar, hâller, vaziyetler"
akson,5,Sinir uyarmalarını sinir hücresinin gövdesinden diğer sinir hücrelerine taşıyan uzantı
altes,5,Prens ve prenseslere verilen şeref unvanı
ardak,5,İçten çürümeye yüz tutmuş ağaç
bıçak,5,Bir sap ve çelik bölümden oluşan kesici araç
banal,5,"Herkesçe kullanılan, anlaşılan"
besni,5,"Güneydoğu Anadolu Bölgesi'nde genellikle kurutmalık olarak üretilen, sofralık olarak da tüketilen, ince kabuklu, beyaz renkli bir tür üzüm"
bizon,5,"""Amerika'da yaşayan bir cins hörgüçlü yaban öküzü"""
conta,5,"Geçirmezliği sağlamak için sıkıştırılmış iki yüzey arasına yerleştirilen, genellikle kauçuk ve kurşundan yapılan ince parça"
dirim,5,"Hayat, yaşam"
elifi,5,Bantlarla süslenmiş
ergin,5,"Olmuş, yetişmiş, kemale ermiş"
fakir,5,"Geçimini güçlükle sağlayan, yoksul, fukara, zengin karşıtı"
filet,5,Derinliği her yerinde aynı olan sığ su alanı
göncü,5,Ham veya işlenmiş deri satan kimse
gulet,5,"İki direkli, yelkenli savaş gemisi"
işmar,5,"El, göz veya baş ile yapılan işaret"
ilhak,5,"Katma, bağlama, ekleme"
ispir,5,At veya araba uşağı
kıtal,5,"Vuruşma, birbirini öldürme"
kenet,5,"İki sert cismi birbirine bağlamaya yarayan, iki ucu sivri ve kıvrık metal parça"
koyun,5,"Geviş getirenlerden, eti, sütü, yapağısı ve derisi için yetiştirilen evcil hayvan (Ovis aries)"
kuytu,5,"Issız, sessiz ve göze çarpmayan, tenha (yer)"
levye,5,Bir mekanizmanın kumanda kolu
mırra,5,Acılık veren sıvılarla özel bir biçimde kaynatılarak pişirilen bir tür acı kahve
muris,5,Miras bırakan
natır,5,Kadınlar hamamında hizmet eden ve müşterileri yıkayan kadın
poyra,5,"Tekerleğin ortasındaki parmakların ve dingilin geçirildiği yuvarlak kısım, göbek"
rujlu,5,Ruj sürülmüş
sıfat,5,"Bir kimsenin görev, ödev, toplumsal veya hukuki bakımdan yeri ve özelliği"
sahne,5,"İzleyicilerin kolayca görebilmeleri için genellikle yerden belli bir ölçüde yüksek yapılan, oyun, müzik vb. gösteri yapmaya uygun yer, oyunluk"
soğan,5,"Zambakgillerden, yemeklere tat vermek için yumrusu ve yeşil yaprakları kullanılan güzel kokulu bitki (Allium cepa)"
tazim,5,"Saygı gösterme, ululama"
terek,5,Evlerin veya dükkânların yüksekçe yerinde bulunan raf
tonik,5,Organları uyaran ve güçlendiren ilaç
turta,5,"Üzeri yufka kaplı, meyveli veya kakaolu bir pasta türü"
yarım,5,Bütün bir şeyin ayrıldığı iki eşit parçadan her biri
yenik,5,"Yenmiş, aşınmış"
çuhçuh,6,Çocuk dilinde tren
özelik,6,Herhangi bir durumu gösterebilme yeteneği
şeriye,6,İslam hukukuyla ilgili
arkeen,6,Kambriyumlardan önce oluşan en eski yer katı
avanos,6,Nevşehir iline bağlı ilçelerden biri
bülten,6,"Özel veya resmî kurum, kuruluş veya yetkili kişilerce herhangi bir durumla ilgili olarak süreli veya süresiz yayımlanan duyuru"
boydak,6,Yükü olmayan yaya
cüzdan,6,"Para, kâğıt vb. koymaya yarayan küçük çanta"
dürbün,6,"Uzaktaki cisimlerin görüntülerini büyütmeye veya yaklaştırmaya yarayan, objektif ve oküler adlı iki mercekten oluşan optik alet, bakaç"
demevi,6,"Kanlı, kanı çok (kimse)"
feyyaz,6,"Çok verimli, gür"
ispenç,6,Bodur bir cins horoz veya tavuk
kumral,6,Koyu sarı veya açık kestane rengi
lejyon,6,Eski Romalılarda piyade ve süvarinin oluşturduğu askerî birlik
müncer,6,Bir yana doğru çekilip sürüklenen
mahmur,6,Sarhoşluğun sebep olduğu sersemlik içinde olan
market,6,"Özellikle her türlü yiyecek maddesinin, ev, büro, mağaza vb. yerlere ait gereçlerin satıldığı dükkân"
mirici,6,"Osmanlı maliyesinde, koyunları sayıp vergilerini toplayan görevli"
muslin,6,"Sık dokunmuş, parlak, ince, yumuşak bir kumaş türü"
olanca,6,"Bütün, elde bulunanın hepsi"
romans,6,Sekiz hecelik dizelerden oluşmuş bir İspanyol şiir türü
samimi,6,İçten (duygu vb.)
takrir,6,"Yerleştirme, yerleştirilme"
tecrit,6,"Ayırma, ayrı bir tarafta tutma"
temsil,6,Birinin veya bir topluluğun adına davranma
yüğrük,6,"İyi yürüyen, iyi koşan"
anatomi,7,"İnsan, hayvan ve bitkilerin yapısını ve organlarının birbiriyle olan ilgilerini inceleyen bilim, teşrih"
armatür,7,Bir aletin ana bölümünü oluşturan kısım
butafor,7,Oyun için gerekli sahne eşyası
diploma,7,"Bir kimseye herhangi bir okulu veya öğrenim programını başarıyla tamamladığını, bir derece veya unvanı kullanmaya hak kazandığını, bir iş, sanat veya meslek dalında çalışabilme yetkisi elde ettiğini belirtmek için bir öğretim kurumu tarafından düzenlenip verilen resmî belge, icazetname, şehadetname"
durağan,7,"Yerini değiştirmeyen, yerli, hareketsiz, sabit"
filaman,7,Elektrik ampullerinden akım geçtiğinde akkor duruma gelen ince iletken tel
gerilla,7,"Düzenli bir orduya karşı küçük birlikler hâlinde çatışan, hafif silahlarla donatılmış topluluk"
havadis,7,İlgi ile karşılanabilecek haber
karakaş,7,"Genellikle Güneydoğu Anadolu'da yetiştirilen, vücudu beyaz, ağız, burun, göz etrafı, kulak ve tırnakları siyah, yağlı kuyruğunun uç kısmı fazla sarkık bir tür koyun"
konsome,7,Et suyu ile kemiklerin birlikte kaynatılmasından ve yağının alınmasından sonraki durumu
levüloz,7,Meyve şekeri
okyanus,7,"Kıtaları birbirinden ayıran deniz, ana deniz, umman"
sürfile,7,Seyrek ve çapraz (dikiş)
sahabet,7,"Koruma, kayırma"
tefenni,7,Burdur iline bağlı ilçelerden biri
tesadüf,7,"Yalnız ihtimallere bağlı olduğu düşünülen olayların kesin olmayan, değişebilen sebebi"
tramvay,7,Şehirlerde yol üzerinde döşenmiş özel raylarda hareket eden yolcu taşıtı
unculuk,7,Un alıp satma işi
yağhane,7,Bitkisel ve hayvansal yağ elde edilen yer
ısıölçer,8,"Cisimlerin ısınma ısısını ölçmeye yarayan alet, kalorimetre"
adıyaman,8,"""Türkiye'nin Güneydoğu Anadolu Bölgesi'nde yer alan illerinden biri"""
alaminüt,8,"Acele, çabuk"
babailik,8,"""XIII. yüzyılda Baba İshak'ın kurduğu tarikat"""
goygoycu,8,Muharrem ayında kapı kapı dolaşarak ve ilahiler okuyarak dilenen kimse
iştahsız,8,"Yemek yeme isteği olmayan, boğazsız"
istiğfar,8,"""Tanrı'dan suçlarının bağışlanmasını dileme"""
mücevher,8,Değerli süs eşyası
mihaniki,8,"Düşünmeden, ölçülerek değil de yalnızca alışkanlığın verdiği kolaylıkla veya yalnız kasların hareketiyle yapılan (iş, hareket vb.)"
muhatara,8,"Korku verici durum, tehlike"
otomotiv,8,Motorlu taşıt yapımıyla uğraşan endüstri kolu
patakrem,8,Yüz ve boyundaki bozuklukları ve pürüzleri gideren pudra ile fondöten karışımı bir madde
pisipisi,8,Çocuk dilinde kedi
raportör,8,Bir komisyonun verdiği kararların gerekçesini kaleme alıp genel kurul karşısında savunmakla görevlendirilen üye
seçilmiş,8,"Seçerek ayrılmış, güzide"
tipoloji,8,İnsan tiplerini belirleme ve ayırt etme yöntemi
zağarlık,8,Av köpeği gibi izleme
çanakkale,9,"""Türkiye'nin Marmara Bölgesi'nde yer alan illerinden biri"""
ıtriyatçı,9,"Güzel kokular, makyaj malzemesi satan kimse veya yer"
ayıgiller,9,"Memeli etoburlardan, ayıları içine alan bir familya"
daltonizm,9,Renk körlüğü
devrialem,9,Dünyayı dolaşma
fütürolog,9,Gelecek bilimci
halkçılık,9,"Bireyler arasında hiçbir hak ayrılığı görmeme, topluluk içinde hiçbir ayrıcalık kabul etmeme görüş ve tutumu, popülizm"
hiyerarşi,9,Aşama sırası
kalseduan,9,Kadıköy taşı
karboksil,9,Organik asit grubunda bulunan -COOH formülündeki tek değerli kökler
postnişin,9,"Postta oturan, tekkenin şeyhi olan kimse"
sükunetli,9,"Durgun, sakin, hareketsiz"
ulusçuluk,9,Milliyetçilik
şarkiyatçı,10,Doğu bilimci
akupunktur,10,Vücudun belirli noktalarına genellikle altın iğne batırılarak yapılan tedavi
dayanılmaz,10,"Karşı konulamaz veya karşı çıkılamaz (kimse veya şey), tahammülfersa"
diyetisyen,10,Diyet uzmanı
glasyoloji,10,Buzul bilimi
kestirmece,10,"Yaklaşık, tahminî"
mütehakkim,10,"Hâkim olan, hükmeden"
muhassasat,10,"Bir kimseye maaş, tayın vb. olarak verilmiş şeyler"
ordinaryüs,10,"Türk üniversitelerinde 1960 öncesinde, en az beş yıl profesörlük yapmış, bilimsel çalışmalarıyla kendini tanıtmış öğretim üyeleri arasından seçilerek bir kürsünün yönetimiyle görevlendirilen kimselere verilen unvan"
ruhbaniyet,10,Rahiplerin evlenmeyerek ve dünyadan el etek çekerek yaşamaları durumu
semiyoloji,10,Hastalıkların belirti ve işaretleriyle ilgilenen hekimlik dalı
viranşehir,10,Şanlıurfa iline bağlı ilçelerden biri
çeçe,4,"İki kanatlılardan, insana uyku hastalığı aşılayan, sinekten büyük bir cins Güney Afrika böceği (Glossina)"
öveç,4,İki üç yaşındaki erkek koyun
ışık,4,"Cisimleri görmeyi, renkleri ayırt etmeyi sağlayan fiziksel enerji, erke, ziya, nur, şavk"
şaşı,4,Birbirine paralel görme ekseni olmayan (göz veya kimse)
şasi,4,Motorlu kara taşıtlarının iskelet bölümü
ayol,4,Genellikle kadınların kullandığı bir seslenme sözü
azol,4,Heterosiklik birleşiklerin önemli bir sınıfı
büyü,4,"Tabiat kanunlarına aykırı sonuçlar elde etmek iddiasında olanların başvurdukları gizli işlem ve davranışlara verilen genel ad, afsun, efsun, sihir, füsun, bağı"
baza,4,Mobilyanın uzunluğunca konulan dar ayak
blöf,4,İskambil oyunlarında elindeki kâğıtları olduğundan başka gösterme davranışı
brüt,4,"Kesintisi yapılmamış, kesintisiz (para)"
diri,4,"Yaşamakta olan, yaşayan, canlı, ölü karşıtı"
drog,4,"Hayvan ve bitkilerden kurutularak veya özel metotlarla toplanarak elde edilen, eczacılık ve kısmen sanayide kullanılan ham veya yarı ham madde"
edep,4,Toplum töresine uygun davranma
ekşi,4,Sirke veya limon tadında olan
ezgi,4,"Belli bir kurallara göre düzenlenmiş, kulağa hoş gelen ses dizisi, haz, nağme, melodi"
faiz,4,"İşletmek için bir yere ödünç verilen paraya karşılık alınan kâr, getiri, ürem, nema"
fota,4,İçinde şarap yapılan bir tür fıçı
gazi,4,Müslümanlıkta düşmanla savaşan veya savaş yapmış kimse
hınç,4,"Öç alma duygusu ile dolu öfke, kin, gayz"
haza,4,Tam anlamıyla
ibik,4,"Horoz, hindi vb.nin tepesinde bulunan kırmızı deri uzantısı"
kırk,4,Otuz dokuzdan sonra gelen sayının adı
kiğı,4,Bingöl iline bağlı ilçelerden biri
koçu,4,Süslü bir tür gezme arabası
kutu,4,"İnce tahta, mukavva, teneke, plastik vb.nden yapılmış, genellikle kapaklı kap"
nara,4,"Haykırma, bağırma"
oğuz,4,İyi huylu (kimse)
oruç,4,"Tanrı'ya ibadet amacıyla yeme, içme vb. şeylerden belli bir süre kendini alıkoyma"
paha,4,"Değer, fiyat, eder"
pipi,4,Çocuk dilinde erkeklik organı
puşt,4,Eş cinsel erkeklerin cinsel zevklerine hizmet eden erkek
sürü,4,Evcil hayvanlar topluluğu
saat,4,"Bir günlük sürenin yirmi dörtte birine eşit, altmış dakikalık zaman dilimi, zaman parçası"
saka,4,"Evlere, çeşmeden su taşımayı iş edinmiş olan kimse"
sert,4,"Çizilmesi, kırılması, buruşması, kesilmesi veya çiğnenmesi güç olan, pek, katı, yumuşak karşıtı"
solo,4,Bir müzik parçasının bir kişi tarafından söylenmesi veya çalınması
ster,4,"Yığın durumundaki yakacak odun için kullanılan, bir metreküpe eşit hacim ölçüsü birimi"
tali,4,"İkinci derecede olan, ikincil"
vize,4,"""Bazı resmî kâğıtlara """"görülmüştür"""" anlamında konulan işaret ve bu işareti koyma işi"""
yahu,4,"""""Hey, bana bak, baksana"""" anlamlarında bir seslenme sözü"
yeke,4,Kayıkta dümeni kullanmak için dümenin baş tarafına takılan kol
zaza,4,"""Ön Asya'da yaşayan bir topluluk ve bu topluluktan olan kimse"""
çökük,5,"Çökmüş, çukurlaşmış, içeri çekilmiş"
çaput,5,"Eskimiş bez parçası, paçavra"
çayır,5,Üzerinde gür ot biten düz ve nemli yer
çifte,5,İkisi bir arada bulunan veya ikili
çuşka,5,"Acı biber, kırmızıbiber"
üdeba,5,"Yazarlar, edipler"
ıslah,5,"Düzeltme, iyileştirme"
şıpka,5,Torpillere karşı ve daha başka işler için gemilerde kullanılan halattan örülmüş ağ
şahne,5,"""Anadolu ve İran'da devlet kurmuş halklarda devlet görevlisi"""
şanlı,5,"Tanınmış, ünlü"
şayan,5,"Uygun, yaraşır, değer, layık"
şerha,5,"Dilim, parça"
afife,5,İffetli (kadın)
ahize,5,Telefonda seslerin duyulduğu ve iletildiği parça
akçıl,5,"Rengi atmış, ağarmış"
akemi,5,İki elemanlı mermer yapıştırıcısı
akkor,5,Işık saçacak beyazlığa varıncaya kadar ısıtılmış olan
alize,5,Tropikal bölgelerdeki denizlerde bütün yıl süresince düzenli esen rüzgâr
amper,5,Elektrik akımında şiddet birimi
armut,5,"Gülgillerden, çiçekleri beyaz, Türkiye'nin her yerinde yetişen bir ağaç (Pirus communis)"
asist,5,Sayı veya gol pası
ataşe,5,"Bir elçiliğe bağlı uzman, elçilik uzmanı"
aydın,5,"""Türkiye'nin Ege Bölgesi'nde yer alan illerinden biri"""
ayrıt,5,İki düzlemin ara kesiti
bürün,5,"Vurgu, ezgi, durak, ulama, ton, uzunluk gibi konuşma diline özgü ögelere verilen ad"
bafra,5,Samsun iline bağlı ilçelerden biri
balon,5,"Isıtılmış hava veya havadan daha hafif bir gazla doldurulan, atmosferde uçabilen, küre biçiminde araç"
bayan,5,Kadınların ad veya soyadlarının önüne getirilen saygı sözü
beter,5,"Daha kötü, çok kötü"
bomba,5,"Canlı veya cansız hedeflere atılan, içi yakıcı ve yıkıcı maddelerle doldurulmuş, türlü büyüklükte patlayıcı, ateşli silah"
cünha,5,Kabahatten ağır ve cinayetten hafif olan suç
cemil,5,Güzel (erkek)
cevir,5,"Eziyet, cefa, üzgü"
cumba,5,"Yapıların üst katlarında, ana duvarların dışına, sokağa doğru çıkıntı yapmış balkon"
döneç,5,"Dalgalı akımlı elektrik motor veya dinamolarında hareketli bölüm, rotor"
dürzü,5,Ağır hakaret ve küfür sözü
dalak,5,"Midenin arkasında, diyaframın altında, sol böbreğin üstünde, yassı, uzunca, akyuvar üreten ve yıpranmış alyuvarları toplayan, damarlı, gevşek bir dokudan oluşmuş organ"
deney,5,"Bilimsel bir gerçeği göstermek, bir yasayı doğrulamak, bir varsayımı kanıtlamak amacıyla yapılan işlem, tecrübe"
deste,5,"Cinsleri aynı veya birbirine yakın olan şeylerin bir arada bağlanmışı, demet, bağlam"
dicle,5,Diyarbakır iline bağlı ilçelerden biri
divit,5,Hokkadaki mürekkebe batırılarak yazı yazmaya yarayan ve değişik uçları olan bir kalem türü
doğum,5,"Doğma işi, tevellüt, veladet"
duruk,5,"Hareketi olmayan, belirli bir süre değişmeyen, statik, dinamik karşıtı"
eksen,5,"Bir cismi iki eşit parçaya bölen çizgi, mihver"
elifi,5,Bantlarla süslenmiş
erinç,5,"Hiçbir eksiği, üzüntüsü ve acısı olmama durumu, dirlik, rahat, huzur"
ester,5,Organik asitlerle alkollerin aralarından bir su molekülü ayrılması sonucunda verdikleri madde
evcik,5,"Küçük, sevimli ev"
ezinç,5,"Organik veya ruhsal büyük sıkıntı, azap"
fakih,5,Fıkıh bilgini
fasık,5,"Allah'ın emirlerini tanımayan, sapkın, günah işleyen"
fedai,5,"Bir ülkü uğruna tehlikeli işlere girişerek canını esirgemeyen kimse, serdengeçti"
flört,5,Kadınla erkek arasındaki duygusal ilişki
gövde,5,Bir şeyin asıl bölümü
güğüm,5,"Yandan kulplu, boynu uzun, genellikle bakırdan su kabı"
gümül,5,Susam ve ekin demeti veya yığını
güruh,5,"Değersiz, aşağı görülen, küçümsenen topluluk, derinti, sürü"
gabro,5,"Amfibol, piroksen, olivin vb. renkli minerallerden oluşan bir tür iri taneli kaya"
gamze,5,"Bazı insanların çenelerinde, yanaklarında doğal olarak bulunan özellikle güldüklerinde daha iyi görülen küçük çukur"
gazap,5,"Öfke, kızgınlık, hiddet"
gebre,5,Atı tımar etmekte kullanılan kıldan kese
grogi,5,Boksta rakibinin yumruklarıyla çok sarsılmış ancak hâlâ ayakta durabilen boksör
haşıl,5,Dokumacılıkta kullanılan unlu veya çirişli sıvı
hacet,5,"Herhangi bir şey için gerekli olma, ihtiyaç, gereklilik, lüzum"
hakan,5,"Türk, Moğol ve Tatar hanları için """"hükümdarlar hükümdarı"""" anlamında kullanılan bir unvan"
hamla,5,Küreklerin bir kez suya daldırılıp çıkarılması
havlu,5,Vücudun çeşitli yerlerinin kurulanmasına yarayan dokuma bez
humar,5,İçki veya uyku sersemliği
içici,5,İçme işini yapan (kimse)
icbar,5,"Zorlama, zorunda bırakma"
ifrat,5,"Herhangi bir konuda çok ileri gitme, ölçüyü aşma, aşırı davranma, taşkınlık, tefrit karşıtı"
ihvan,5,"Yakın dostlar, arkadaşlar"
ilave,5,"Ekleme, ulama"
ipham,5,"Belirsizlik, kapalılık"
ishal,5,"Olağandan daha çok, daha sık ve sulu dışkı çıkarma, sürgün, ötürük, iç sürme, cır cır, amel, linet, kabız karşıtı"
jarse,5,Esnek dokunmuş ipekli veya yünlü bir kumaş
köken,5,"Bir şeyin çıktığı, dayandığı temel, biçim, neden veya yer, menşe"
külli,5,Bütüne ve genele ilişkin
kınık,5,Oğuz Türklerinin yirmi dört boyundan biri
kırba,5,"Sakaların içinde su taşıdıkları ağzı dar, altı geniş, deriden yapılmış kap, su kabı, matara"
kadim,5,"Başlangıcı olmayan, eski, ezelî"
kaime,5,"Buyruk, resmî kâğıt, ferman"
kaput,5,Asker paltosu
karun,5,Çok zengin kimse
